OTU ID	type	domain	phylum	class	order	family	genus	species
ASV008433	Plant	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__norank	s__Xanthomonas citri pv. mangiferaeindicae
ASV008436	Mammalia	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	s__uncultured bacterium
ASV008441	Plant	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__Rhizobium rhizogenes
ASV008445	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Saccharopolyspora	s__Saccharopolyspora rectivirgula
ASV008448	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas panacis
ASV008450	Mammalia	d__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Simkaniaceae	g__uncultured	s__uncultured Chlamydia sp.
ASV008456	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__Rhodococcus aetherivorans
ASV008460	Mammalia	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium sensu stricto 1	s__Clostridium beijerinckii NRRL B-598
ASV008493	Mammalia	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Amoebophilaceae	g__Candidatus Amoebophilus	s__uncultured bacterium
ASV008504	Mammalia	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Kerstersia	s__Kerstersia gyiorum
ASV008506	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	s__Azospirillum brasilense
ASV008507	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas vesicularis
ASV008523	Plant	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas melonis TY
ASV008525	Mammalia	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	s__uncultured bacterium
